row_index,school_name,n_category,n_grade
567,Augustana University,Campus,B+
568,Augustana University,Athletics,A-
569,Augustana University,Party Scene,B-
570,Augustana University,Professors,B+
571,Augustana University,Location,B+
572,Augustana University,Dorms,B
573,Augustana University,Campus Food,B
574,Augustana University,Student Life,A-
575,Augustana University,Safety,B-
576,Augusta University,Academics,B+
577,Augusta University,Value,A-
578,Augusta University,Diversity,A
579,Augusta University,Campus,C+
580,Augusta University,Athletics,B-
581,Augusta University,Party Scene,B-
582,Augusta University,Professors,B+
583,Augusta University,Location,C+
584,Augusta University,Dorms,C+
585,Augusta University,Campus Food,B-
586,Augusta University,Student Life,C+
587,Augusta University,Safety,A-
588,Aurora University,Academics,C+
589,Aurora University,Value,B+
590,Aurora University,Diversity,B+
591,Aurora University,Campus,C+
592,Aurora University,Athletics,B-
593,Aurora University,Party Scene,C+
594,Aurora University,Professors,C
595,Aurora University,Location,C+
596,Aurora University,Dorms,C+
597,Aurora University,Campus Food,C
598,Aurora University,Student Life,C+
599,Aurora University,Safety,B
600,Austin College,Academics,A
601,Austin College,Value,A
602,Austin College,Diversity,A
603,Austin College,Campus,C-
604,Austin College,Athletics,C+
605,Austin College,Party Scene,B
606,Austin College,Professors,A
607,Austin College,Location,C-
608,Austin College,Dorms,C
609,Austin College,Campus Food,C
610,Austin College,Student Life,B-
611,Austin College,Safety,B-
612,Austin Peay State University,Academics,B-
613,Austin Peay State University,Value,B-
614,Austin Peay State University,Diversity,B+
615,Austin Peay State University,Campus,A-
616,Austin Peay State University,Athletics,B+
617,Austin Peay State University,Party Scene,B
618,Austin Peay State University,Professors,B
619,Austin Peay State University,Location,C+
620,Austin Peay State University,Dorms,B+
621,Austin Peay State University,Campus Food,A
622,Austin Peay State University,Student Life,B
623,Austin Peay State University,Safety,B+
624,Ave Maria University,Academics,B-
625,Ave Maria University,Value,C+
626,Ave Maria University,Diversity,B
627,Ave Maria University,Campus,B-
628,Ave Maria University,Athletics,A-
629,Ave Maria University,Party Scene,A-
630,Ave Maria University,Professors,B
631,Ave Maria University,Location,C
632,Ave Maria University,Dorms,A
633,Ave Maria University,Campus Food,B+
634,Ave Maria University,Student Life,B
635,Ave Maria University,Safety,C+
636,Averett University,Academics,B-
637,Averett University,Value,B
638,Averett University,Diversity,A
639,Averett University,Campus,C
640,Averett University,Athletics,B
641,Averett University,Party Scene,C
642,Averett University,Professors,B
643,Averett University,Location,C
644,Averett University,Dorms,B-
645,Averett University,Campus Food,B
646,Averett University,Student Life,C
647,Averett University,Safety,C+
648,Alice Lloyd College,Academics,B-
649,Alice Lloyd College,Value,B-
650,Alice Lloyd College,Diversity,C+
651,Alice Lloyd College,Campus,C+
652,Alice Lloyd College,Athletics,C
653,Alice Lloyd College,Party Scene,C-
654,Alice Lloyd College,Professors,C+
655,Alice Lloyd College,Location,C+
656,Alice Lloyd College,Dorms,B-
657,Alice Lloyd College,Campus Food,B-
658,Alice Lloyd College,Student Life,C+
659,Alice Lloyd College,Safety,A+
660,Allegheny College,Academics,A-
661,Allegheny College,Value,A-
662,Allegheny College,Diversity,A
663,Allegheny College,Campus,B
664,Allegheny College,Athletics,B-
665,Allegheny College,Party Scene,B
666,Allegheny College,Professors,A
667,Allegheny College,Location,C-
668,Allegheny College,Dorms,B-
669,Allegheny College,Campus Food,B
670,Allegheny College,Student Life,B+
671,Allegheny College,Safety,C+
672,Allen University,Academics,C-
673,Allen University,Value,C-
674,Allen University,Diversity,B-
675,Allen University,Campus,C+
676,Allen University,Athletics,C+
677,Allen University,Party Scene,B
678,Allen University,Professors,B-
679,Allen University,Location,B
680,Allen University,Dorms,B
681,Allen University,Campus Food,B
682,Allen University,Student Life,C
683,Allen University,Safety,B
684,Alma College,Academics,B
685,Alma College,Value,A-
686,Alma College,Diversity,B+
687,Alma College,Campus,C
688,Alma College,Athletics,B-
689,Alma College,Party Scene,B-
690,Alma College,Professors,B+
691,Alma College,Location,C-
692,Alma College,Dorms,B-
693,Alma College,Campus Food,C-
694,Alma College,Student Life,C+
695,Alma College,Safety,B+
696,Alvernia University,Academics,C+
697,Alvernia University,Value,B+
698,Alvernia University,Diversity,B
699,Alvernia University,Campus,B-
700,Alvernia University,Athletics,C+
701,Alvernia University,Party Scene,B-
702,Alvernia University,Professors,C
703,Alvernia University,Location,B-
704,Alvernia University,Dorms,B+
705,Alvernia University,Campus Food,C
706,Alvernia University,Student Life,B-
707,Alvernia University,Safety,B
708,Alverno College,Academics,B
709,Alverno College,Value,A-
710,Alverno College,Diversity,A-
711,Alverno College,Campus,B-
712,Alverno College,Athletics,B
713,Alverno College,Party Scene,B-
714,Alverno College,Professors,B
715,Alverno College,Location,B-
716,Alverno College,Dorms,B+
717,Alverno College,Campus Food,C+
718,Alverno College,Student Life,B
719,Alverno College,Safety,A-
720,American Academy of Art,Academics,C
721,American Academy of Art,Value,C+
722,American Academy of Art,Diversity,B+
723,American Academy of Art,Campus,C
724,American Academy of Art,Athletics,NG
725,American Academy of Art,Party Scene,NG
726,American Academy of Art,Professors,C
727,American Academy of Art,Location,A-
728,American Academy of Art,Dorms,NG
729,American Academy of Art,Campus Food,NG
730,American Academy of Art,Student Life,B-
731,American Academy of Art,Safety,A
732,Barclay College,Academics,B-
733,Barclay College,Value,B-
734,Barclay College,Diversity,B+
735,Barclay College,Campus,NG
736,Barclay College,Athletics,D-
737,Barclay College,Party Scene,NG
738,Barclay College,Professors,C-
739,Barclay College,Location,C-
740,Barclay College,Dorms,NG
741,Barclay College,Campus Food,NG
742,Barclay College,Student Life,C+
743,Barclay College,Safety,A+
744,Bard College,Academics,A
745,Bard College,Value,B+
746,Bard College,Diversity,A
747,Bard College,Campus,D
748,Bard College,Athletics,C+
749,Bard College,Party Scene,C+
750,Bard College,Professors,A
751,Bard College,Location,C
752,Bard College,Dorms,D-
753,Bard College,Campus Food,C-
754,Bard College,Student Life,C
755,Bard College,Safety,B-
756,Bard College at Simon's Rock,Academics,B+
757,Bard College at Simon's Rock,Value,B-
758,Bard College at Simon's Rock,Diversity,A-
759,Bard College at Simon's Rock,Campus,C-
760,Bard College at Simon's Rock,Athletics,NG
761,Bard College at Simon's Rock,Party Scene,C
762,Bard College at Simon's Rock,Professors,A-
763,Bard College at Simon's Rock,Location,C-
764,Bard College at Simon's Rock,Dorms,C
765,Bard College at Simon's Rock,Campus Food,B-
766,Bard College at Simon's Rock,Student Life,C+
767,Bard College at Simon's Rock,Safety,B
768,Barnard College,Academics,A+
769,Barnard College,Value,A+
770,Barnard College,Diversity,A
771,Barnard College,Campus,B+
772,Barnard College,Athletics,NG
773,Barnard College,Party Scene,A
774,Barnard College,Professors,A+
775,Barnard College,Location,A+
776,Barnard College,Dorms,B-
777,Barnard College,Campus Food,B-
778,Barnard College,Student Life,A+
779,Barnard College,Safety,B+
780,Barry University,Academics,B-
