row_index,school_name,usn_category,usn_rank
483,Brown University,Most Innovative Schools,20
484,Brown University,Top Performers on Social Mobility,203
485,Brown University,Best Undergraduate Engineering Programs Biomedical,37
486,Brown University,First-Year Experiences,13
487,Brown University,Senior Capstone,3
488,Brown University,Service Learning,13
489,Brown University,Writing in the Disciplines,1
490,Brown University,Undergraduate Research/Creative Projects,15
491,Bryan College,Regional Universities South,65
492,Bryan College,Best Colleges for Veterans,38
493,Bryan College,Best Value Schools,31
494,Bryan College,Top Performers on Social Mobility,41
495,Bryant University,Regional Universities North,7
496,Bryant University,Best Colleges for Veterans,2
497,Bryant University,Best Value Schools,58
498,Bryant University,Top Performers on Social Mobility,160
499,Bryn Athyn College of the New Church,National Liberal Arts Colleges,162
500,Bryn Athyn College of the New Church,Top Performers on Social Mobility,29
501,Bryn Mawr College,National Liberal Arts Colleges,28
502,Bryn Mawr College,Best Undergraduate Teaching,23
503,Bryn Mawr College,Best Value Schools,35
504,Bryn Mawr College,Most Innovative Schools,24
505,Bryn Mawr College,Top Performers on Social Mobility,145
506,Bryn Mawr College,First-Year Experiences,25
507,Bucknell University,National Liberal Arts Colleges,34
508,Bucknell University,Best Value Schools,101
509,Bucknell University,Most Innovative Schools,42
510,Bucknell University,Top Performers on Social Mobility,199
511,Bucknell University,Best Undergraduate Engineering Programs #1 Biomedical #4 Civil #7 Computer #4 Electrical / Electronic / Communications #1 Environmental / Environmental Health #4 Mechanical,7
512,Bucknell University,Biomedical,1
513,Bucknell University,Civil,4
514,Bucknell University,Computer,7
515,Bucknell University,Electrical / Electronic / Communications,4
516,Bucknell University,Environmental / Environmental Health,1
517,Bucknell University,Mechanical,4
518,Bucknell University,First-Year Experiences,45
519,Bucknell University,Undergraduate Research/Creative Projects,33
520,Buena Vista University ,Regional Universities Midwest,44
521,Buena Vista University ,Best Colleges for Veterans,30
522,Buena Vista University ,Best Value Schools,3
523,Buena Vista University ,Top Performers on Social Mobility,25
524,Bushnell University,Regional Universities West,82
525,Bushnell University,Top Performers on Social Mobility,57
526,Butler University,Regional Universities Midwest,1
527,Butler University,Best Undergraduate Teaching,3
528,Butler University,Best Value Schools,45
529,Butler University,Most Innovative Schools,1
530,Butler University,Top Performers on Social Mobility,137
531,Butler University,First-Year Experiences,19
532,Butler University,Senior Capstone,23
533,Butler University,Study Abroad,28
534,Cabrini University,Top Performers on Social Mobility,110
535,Cairn University,Top Performers on Social Mobility,68
536,Caldwell University,Regional Universities North,67
537,Caldwell University,Best Value Schools,14
538,Caldwell University,Top Performers on Social Mobility,19
539,California Baptist University,Regional Universities West,40
540,California Baptist University,Best Colleges for Veterans,23
541,California Baptist University,Best Value Schools,25
542,California Baptist University,Most Innovative Schools,13
543,California Baptist University,Top Performers on Social Mobility,52
544,California Baptist University,Best Undergraduate Engineering Programs,157
545,California Baptist University,First-Year Experiences,68
546,California Institute of Technology,National Universities,9
547,California Institute of Technology,Best Undergraduate Teaching,18
548,California Institute of Technology,Best Value Schools,12
549,California Institute of Technology,Most Innovative Schools,7
550,California Institute of Technology,Top Performers on Social Mobility,340
551,California Institute of Technology,Best Undergraduate Engineering Programs #3 Aerospace /Aeronautical / Astronautical Biomedical #4 Chemical Civil #3 Electrical / Electronic / Communications Environmental / Environmental Health #12 Materials #6 Mechanical,5
552,California Institute of Technology,Aerospace /Aeronautical / Astronautical,3
553,California Institute of Technology,Chemical,4
554,California Institute of Technology,Electrical / Electronic / Communications,3
555,California Institute of Technology,Materials,12
556,California Institute of Technology,Mechanical,6
557,California Institute of Technology,Computer Science #10 Artificial Intelligence Computer Systems Cybersecurity Data Analytics/Science #9 Software Engineering #12 Theory,5
558,California Institute of Technology,Artificial Intelligence,10
559,California Institute of Technology,Software Engineering,9
560,California Institute of Technology,Theory,12
561,California Institute of Technology,Undergraduate Research/Creative Projects,2
562,California Lutheran University,Regional Universities West,10
563,California Lutheran University,Best Colleges for Veterans,7
564,California Lutheran University,Best Undergraduate Teaching,22
565,California Lutheran University,Best Value Schools,13
566,California Lutheran University,Most Innovative Schools,5
567,California Lutheran University,Top Performers on Social Mobility,41
568,California Lutheran University,First-Year Experiences,68
569,"California Polytechnic State University, San Luis Obispo",Regional Universities West,3
570,"California Polytechnic State University, San Luis Obispo",Best Colleges for Veterans,1
571,"California Polytechnic State University, San Luis Obispo",Best Undergraduate Teaching,2
572,"California Polytechnic State University, San Luis Obispo",Most Innovative Schools,1
573,"California Polytechnic State University, San Luis Obispo",Top Performers on Social Mobility,96
574,"California Polytechnic State University, San Luis Obispo",Top Public Schools,1
575,"California Polytechnic State University, San Luis Obispo",Best Undergraduate Engineering Programs #2 Aerospace /Aeronautical / Astronautical #3 Biomedical #2 Civil #2 Computer #2 Electrical / Electronic / Communications #1 Industrial / Manufacturing #3 Mechanical,8
576,"California Polytechnic State University, San Luis Obispo",Aerospace /Aeronautical / Astronautical,2
577,"California Polytechnic State University, San Luis Obispo",Biomedical,3
578,"California Polytechnic State University, San Luis Obispo",Civil,2
579,"California Polytechnic State University, San Luis Obispo",Computer,2
580,"California Polytechnic State University, San Luis Obispo",Electrical / Electronic / Communications,2
581,"California Polytechnic State University, San Luis Obispo",Industrial / Manufacturing,1
582,"California Polytechnic State University, San Luis Obispo",Mechanical,3
583,"California State Polytechnic University, Pomona",Regional Universities West,10
584,"California State Polytechnic University, Pomona",Best Undergraduate Teaching,8
585,"California State Polytechnic University, Pomona",Best Value Schools,38
586,"California State Polytechnic University, Pomona",Most Innovative Schools,3
587,"California State Polytechnic University, Pomona",Top Performers on Social Mobility,5
588,"California State Polytechnic University, Pomona",Top Public Schools,2
589,"California State Polytechnic University, Pomona",Best Undergraduate Engineering Programs #3 Aerospace /Aeronautical / Astronautical #6 Civil #4 Computer #8 Electrical / Electronic / Communications #2 Industrial / Manufacturing #8 Mechanical,11
590,"California State Polytechnic University, Pomona",Aerospace /Aeronautical / Astronautical,3
591,"California State Polytechnic University, Pomona",Civil,6
592,"California State Polytechnic University, Pomona",Computer,4
593,"California State Polytechnic University, Pomona",Electrical / Electronic / Communications,8
594,"California State Polytechnic University, Pomona",Industrial / Manufacturing,2
595,"California State Polytechnic University, Pomona",Mechanical,8
596,"California State University, Bakersfield",Regional Universities West,52
